episode_id,step,latent_goal_mse,success
0,0,1.226033665,1
0,1,1.228132406,1
0,2,1.2473541,1
0,3,1.223974071,1
0,4,1.195015501,1
0,5,1.135577641,1
0,6,1.194653234,1
0,7,1.231000115,1
0,8,1.271118038,1
0,9,1.233050277,1
0,10,1.08881793,1
0,11,1.117473543,1
0,12,0.9679224289,1
0,13,1.310774536,1
0,14,1.280405559,1
0,15,1.309535129,1
0,16,1.349981706,1
0,17,1.332042705,1
0,18,1.350488967,1
0,19,1.395595647,1
0,20,1.422454964,1
0,21,1.48847558,1
0,22,1.502007859,1
0,23,1.562961505,1
0,24,1.538083707,1
0,25,1.553752879,1
0,26,1.551118519,1
0,27,1.562798753,1
0,28,1.51410754,1
0,29,1.507412335,1
0,30,1.447130508,1
0,31,1.339647491,1
0,32,1.267191887,1
0,33,1.228475509,1
0,34,1.18973014,1
0,35,1.159862696,1
0,36,1.071200083,1
0,37,1.094089038,1
0,38,1.008861601,1
0,39,1.09341628,1
0,40,1.206276999,1
0,41,1.284976734,1
0,42,1.334191161,1
0,43,1.285789243,1
0,44,1.276410044,1
0,45,0.9825993469,1
0,46,1.003921273,1
0,47,0.8107457103,1
0,48,0.7517709669,1
0,49,0.7128361522,1
0,50,0.7425277879,1
0,51,0.7969880016,1
0,52,0.8343944943,1
0,53,0.9144414693,1
0,54,1.082924871,1
1,0,1.425320158,1
1,1,1.429241823,1
1,2,1.348500511,1
1,3,1.123809439,1
1,4,1.009446248,1
1,5,0.9859116257,1
1,6,0.5914865445,1
1,7,0.5870863423,1
1,8,0.6426569767,1
1,9,0.6407345548,1
1,10,0.7237831567,1
1,11,0.7064402965,1
1,12,0.738936288,1
1,13,0.7463971676,1
1,14,0.7438262325,1
1,15,0.8088834509,1
1,16,0.7994464611,1
1,17,0.8069959767,1
1,18,0.662724508,1
1,19,0.5508776833,1
1,20,0.603806647,1
1,21,0.5166743409,1
1,22,0.4950284073,1
1,23,0.5421236581,1
1,24,0.4890429246,1
1,25,0.4868457021,1
1,26,0.4819438238,1
1,27,0.4478013672,1
1,28,0.46782516,1
1,29,0.5063401818,1
1,30,0.555594682,1
1,31,0.5644483746,1
1,32,0.4749411666,1
1,33,0.4696839772,1
1,34,0.4157064021,1
1,35,0.3246358469,1
1,36,0.2889774992,1
1,37,0.354823754,1
1,38,0.3224634787,1
1,39,0.4157069073,1
1,40,0.443528812,1
1,41,0.3540354001,1
1,42,0.3779091238,1
1,43,0.2140712202,1
1,44,0.2509554151,1
2,0,1.606714434,1
2,1,1.456863662,1
2,2,1.376978038,1
2,3,1.363741736,1
2,4,0.9453510382,1
2,5,1.295635021,1
2,6,0.9190001179,1
2,7,0.8587637501,1
2,8,1.087256015,1
2,9,1.488714007,1
2,10,1.710157598,1
2,11,1.731272318,1
2,12,1.720895314,1
2,13,1.486094209,1
2,14,0.4654169859,1
2,15,0.4557814803,1
2,16,0.5444935186,1
2,17,0.5411286541,1
2,18,0.62839795,1
